Title,Links Document
Summary of the Competition Council Plenum Decision no. ASO-71 as of 17.10.2019,https://competition.md/decizieview.php?l=en&idc=64&id=6725&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-ASO-71-as-of-17102019
Summary of the Competition Council Plenum Decision no. ASR-65 as of 13.09.2019,https://competition.md/decizieview.php?l=en&idc=64&id=6720&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-ASR-65-as-of-13092019
Summary of the Competition Council Plenum Decision no. CN-03/06 / 19-69 as of 03.10.2019 ,https://competition.md/decizieview.php?l=en&idc=64&id=6711&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-CN-0306-19-69-as-of-03102019
Summary of the Competition Council no ASR-47 as of 04.07.2019,https://competition.md/decizieview.php?l=en&idc=64&id=6656&t=/Transparency/Decisions/Summary-of-the-Competition-Council-no-ASR-47-as-of-04072019
Summary of the Competition Council Decisions no. ASR-35 as of 23.05.2019,https://competition.md/decizieview.php?l=en&idc=64&id=6618&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decisions-no-ASR-35-as-of-23052019
Summary of the Competition Council Plenum Decisions no. ASR-34 as of 23.05.2019,https://competition.md/decizieview.php?l=en&idc=64&id=6616&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decisions-no-ASR-34-as-of-23052019
Summury of the Competition Council Plenum no. ASS-46/18-27 as of 24.04.2019,https://competition.md/decizieview.php?l=en&idc=64&id=6613&t=/Transparency/Decisions/Summury-of-the-Competition-Council-Plenum-no-ASS-4618-27-as-of-24042019
Summary of the Competition Council Decision no. ASO-31 as of 08.05.2019,https://competition.md/decizieview.php?l=en&idc=64&id=6602&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-no-ASO-31-as-of-08052019
Summary of the Competition Council Decisions no. ASER-20 as of 04.04.2019,https://competition.md/decizieview.php?l=en&idc=64&id=6600&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decisions-no-ASER-20-as-of-04042019
The Summary of the Competition Council Plenum no. ASO-14 as of 07.03.2019,https://competition.md/decizieview.php?l=en&idc=64&id=6547&t=/Transparency/Decisions/The-Summary-of-the-Competition-Council-Plenum-no-ASO-14-as-of-07032019
Summary of the Competition Council Decision no ASS-05  as of 24.01.2019,https://competition.md/decizieview.php?l=en&idc=64&id=6536&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-no-ASS-05-as-of-24012019
The Plenum of the Competition Council Decision's No. CEP - 88 as of 20.12.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6530&t=/Transparency/Decisions/The-Plenum-of-the-Competition-Council-Decisions-No-CEP-88-as-of-20122018
Summary of the Competition Council Decision No. ASS - 01 as of 18.01.2019 ,https://competition.md/decizieview.php?l=en&idc=64&id=6521&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-No-ASS-01-as-of-18012019
Summary of the Competition Council Decision No. ASR - 86 as of 20.12.2018 ,https://competition.md/decizieview.php?l=en&idc=64&id=6511&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-No-ASR-86-as-of-20122018
Summary of the Competition Council Decision No. ASO - 85 as of 20.12.2018 ,https://competition.md/decizieview.php?l=en&idc=64&id=6510&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-No-ASO-85-as-of-20122018
Summary of the Competition Council Decision No. ASO - 84 as of 20.12.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6509&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-No-ASO-84-as-of-20122018
Summary of the Competition Council Decision No. ASO - 83 as of 20.12.2018 ,https://competition.md/decizieview.php?l=en&idc=64&id=6508&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-No-ASO-83-as-of-20122018
"Summary of the  Competition Council’s Plenum Decision No. APD – 5/16 – 81 of 29.11.2018",https://competition.md/decizieview.php?l=en&idc=64&id=6507&t=/Transparency/Decisions/Summary-of-the-Competition-Councils-Plenum-Decision-No-APD-516-81-of-29112018
Summary of the Competition Council Decision No. ASR 82 as of 30.11.2018 ,https://competition.md/decizieview.php?l=en&idc=64&id=6501&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-No-ASR-82-as-of-30112018
Summary of the Competition Council Decision No. CN-25/17-78 as of 25.10.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6473&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-No-CN-2517-78-as-of-25102018
Summary of the Competition Council Decision No. CN-24/17-77 as of 25.10.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6471&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-No-CN-2417-77-as-of-25102018
Summary of the Competition Council Decision No. CEP-41/17-71 as of 05.10.2018 ,https://competition.md/decizieview.php?l=en&idc=64&id=6466&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-No-CEP-4117-71-as-of-05102018
Summary of the Competition Council Plenum Decision No. ASS-73 as of 11.10.2018 ,https://competition.md/decizieview.php?l=en&idc=64&id=6458&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-No-ASS-73-as-of-11102018
Summary of the Competition Council Decision No. AAP-21/18-63 as of 06.09.2018 ,https://competition.md/decizieview.php?l=en&idc=64&id=6449&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-No-AAP-2118-63-as-of-06092018
Summary of the Competition Council Decision No. CEP-07/17-41 as of 14.06.2018 ,https://competition.md/decizieview.php?l=en&idc=64&id=6432&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-No-CEP-0717-41-as-of-14062018
Summary of the Competition Council Decision No. APD-34/17-38 as of 14.06.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6428&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-No-APD-3417-38-as-of-14062018
Summary of the Competition Council Plenum Decision No. ASR-61 as of 12.07.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6417&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-No-ASR-61-as-of-12072018
Summary of the Competition Council’s Plenum Decision  No-22/16-62 as of 01.08.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6415&t=/Transparency/Decisions/Summary-of-the-Competition-Councils-Plenum-Decision-No-2216-62-as-of-01082018
Summary of the Competition Council Decision No. ASR-14/18-50 as of 28.06.2018 ,https://competition.md/decizieview.php?l=en&idc=64&id=6414&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-No-ASR-1418-50-as-of-28062018
Summary of the Competition Council Plenum no. ASER-54 as of 05.07.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6413&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-no-ASER-54-as-of-05072018
Summary of the Competition Council Plenum no. ASR 15/18-55 as of 05.07.2018 ,https://competition.md/decizieview.php?l=en&idc=64&id=6412&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-no-ASR-1518-55-as-of-05072018
Summary of the Competition Council Decision No. ASR-56 as of 05.07.2018 ,https://competition.md/decizieview.php?l=en&idc=64&id=6410&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-No-ASR-56-as-of-05072018
Summary of the Competition Council Decision No. APD-7/17-58 as of 05.07.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6408&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-No-APD-717-58-as-of-05072018
"Summary of the Competition Council’s Plenum Decision no. APD-36/17- 43 of 21.06.2018",https://competition.md/decizieview.php?l=en&idc=64&id=6395&t=/Transparency/Decisions/Summary-of-the-Competition-Councils-Plenum-Decision-no-APD-3617-43-of-21062018
Summary of the Competition Council Decision No. CEP -14/17-42 as of 14.06.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6394&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-No-CEP-1417-42-as-of-14062018
Summary of the Competition Council Decision No.  ASR-36 as of 07.06.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6393&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decision-No-ASR-36-as-of-07062018
"Summary of the Competition Council Plenum Decision no. APD–6/17-37  of  14.06.2018",https://competition.md/decizieview.php?l=en&idc=64&id=6390&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-APD617-37-of-14062018
Summary of the Competition Council Plenum Decision No. CEP - 03/18-33 as of 07.06.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6387&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-No-CEP-0318-33-as-of-07062018
Summary of the Competition Council Plenum Decision No. AAP - 05/18-39 as of 14.06.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6378&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-No-AAP-0518-39-as-of-14062018
Summary of the Competition Council Plenum Decision No. AAP-16/17-34   as of 07.06.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6377&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-No-AAP-1617-34-as-of-07062018
Summary of the Competition Council Plenum Decision No. AAP - 8/16-27 -30 as of 24.05.2018 ,https://competition.md/decizieview.php?l=en&idc=64&id=6376&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-No-AAP-816-27-30-as-of-24052018
Summary of the Plenul of the Competition Council Decision no. 31 as of 25.05.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6369&t=/Transparency/Decisions/Summary-of-the-Plenul-of-the-Competition-Council-Decision-no-31-as-of-25052018
Summary of the Competition Council Plenum Decision No. ASO-24 as of 16.05.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6360&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-No-ASO-24-as-of-16052018
Summary  of the Competition Council Plenum Decision no. ASO-29 as of 25.05.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6354&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-ASO-29-as-of-25052018
Summary of the Competition Council Plenum Decision no. ASO-30 as of 25.05.2018 ,https://competition.md/decizieview.php?l=en&idc=64&id=6353&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-ASO-30-as-of-25052018
Summary of the Competition Council Plenum no. ASS-12 as of 22.03.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6341&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-no-ASS-12-as-of-22032018
The Plenum of the Competition Council has authorized the state aid granted to  Î.M.”Servcomdor”,https://competition.md/decizieview.php?l=en&idc=64&id=6332&t=/Transparency/Decisions/The-Plenum-of-the-Competition-Council-has-authorized-the-state-aid-granted-to-IMServcomdor
Summary of the Competition Council Plenum no ASS- 17 AS OF 29.03.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6325&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-no-ASS-17-AS-OF-29032018
The Competition Council Plenum Decision no. APD–15/17-10 of 22.02.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6304&t=/Transparency/Decisions/The-Competition-Council-Plenum-Decision-no-APD1517-10-of-22022018
Summary of the Competition Council Plenum Decision no.  CEP -59 AS OF 15.11.2017,https://competition.md/decizieview.php?l=en&idc=64&id=6294&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-CEP-59-AS-OF-15112017
Summary of the Competition Council Plenum Decision no. AAP –36/15-04 as of 01.02.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6285&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-AAP-3615-04-as-of-01022018
"Summary of the Competition Council Plenum Decision no. APD – 61 of 04.12.2017",https://competition.md/decizieview.php?l=en&idc=64&id=6282&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-APD-61-of-04122017
Summary of the Competition Council Plenum no. ASR-68 as of 29.12.2017,https://competition.md/decizieview.php?l=en&idc=64&id=6277&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-no-ASR-68-as-of-29122017
Summary decision of Competition Council Plenum No. DA-3/15-01 as of 22.01.2018,https://competition.md/decizieview.php?l=en&idc=64&id=6271&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-DA-315-01-as-of-22012018
Summary of the Competition Council Plenum Decision DA-39 as of 24.08.2017 ,https://competition.md/decizieview.php?l=en&idc=64&id=6268&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-DA-39-as-of-24082017
Summary of the Competition Council Plenum Decision CEP-70 as of 29.12.2017 ,https://competition.md/decizieview.php?l=en&idc=64&id=6266&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-CEP-70-as-of-29122017
Summary of the Competition Council Plenum Decision CEP-67 as of 27.12.2017,https://competition.md/decizieview.php?l=en&idc=64&id=6265&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-CEP-67-as-of-27122017
The Competition Council Plenum Decision no. ASS-43 as of 14.09.2017,https://competition.md/decizieview.php?l=en&idc=64&id=6249&t=/Transparency/Decisions/The-Competition-Council-Plenum-Decision-no-ASS-43-as-of-14092017
Summary of the Competition Council Plenum Decision ASR-53 as of 02.11.2017,https://competition.md/decizieview.php?l=en&idc=64&id=6238&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-ASR-53-as-of-02112017
The Plenum of the Competition Council Decision no. CN -56 as of 02.11.2017,https://competition.md/decizieview.php?l=en&idc=64&id=6225&t=/Transparency/Decisions/The-Plenum-of-the-Competition-Council-Decision-no-CN-56-as-of-02112017
The Plenum of the Competition Council Decision no. CEP-57 as of 15.11.2017 ,https://competition.md/decizieview.php?l=en&idc=64&id=6224&t=/Transparency/Decisions/The-Plenum-of-the-Competition-Council-Decision-no-CEP-57-as-of-15112017
The Plenum of the Competition Council Decision no. CEP-46 as of 03.10.2017,https://competition.md/decizieview.php?l=en&idc=64&id=6223&t=/Transparency/Decisions/The-Plenum-of-the-Competition-Council-Decision-no-CEP-46-as-of-03102017
"Summary of the Competition Council Plenum Decision CN-52 as of 20.10.2017 ",https://competition.md/decizieview.php?l=en&idc=64&id=6193&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-CN-52-as-of-20102017
"Summary of the Competition Council Plenum Decision No. APD – 51 from 16.10.2017",https://competition.md/decizieview.php?l=en&idc=64&id=6191&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-No-APD-51-from-16102017
Summary of the  Competition Council Plenum Decision no. 50 as of 16.10.2017,https://competition.md/decizieview.php?l=en&idc=64&id=6190&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-50-as-of-16102017
The Competition Council Plenum Decision No. APD – 27 from 29.06.2017,https://competition.md/decizieview.php?l=en&idc=64&id=6118&t=/Transparency/Decisions/The-Competition-Council-Plenum-Decision-No-APD-27-from-29062017
Summary of the Competition Council Plenum Decision No. APD – 33 from 14.07.2017,https://competition.md/decizieview.php?l=en&idc=64&id=6113&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-No-APD-33-from-14072017
Summary of the Competition Council Plenum Decision no. ASS-18 as of 22.05.2017,https://competition.md/decizieview.php?l=en&idc=64&id=6080&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-ASS-18-as-of-22052017
Summary of the Competition Council Plenum no AAP-23 as of 30.05.2017,https://competition.md/decizieview.php?l=en&idc=64&id=6077&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-no-AAP-23-as-of-30052017
Summary of the Competition Council Plenum Decision no. ASO-19 as of 22.05.2017,https://competition.md/decizieview.php?l=en&idc=64&id=6073&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-ASO-19-as-of-22052017
Summary of the Competition Council Plenum No. DA -17 as of 22.05.2017,https://competition.md/decizieview.php?l=en&idc=64&id=6064&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-No-DA-17-as-of-22052017
Summary of the Competition Council Plenum No. DA -16 as of 22.05.2017,https://competition.md/decizieview.php?l=en&idc=64&id=6063&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-No-DA-16-as-of-22052017
Summary decision of Competition Council Plenum No. ASS-12 as of 27.04.2017 ,https://competition.md/decizieview.php?l=en&idc=64&id=6044&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-ASS-12-as-of-27042017
Summary decision of Competition Council Plenum No. ASR-13 as of 27.04.2017 ,https://competition.md/decizieview.php?l=en&idc=64&id=6037&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-ASR-13-as-of-27042017
Summary of the Decision no. APD-14 of 27.04.2017,https://competition.md/decizieview.php?l=en&idc=64&id=6024&t=/Transparency/Decisions/Summary-of-the-Decision-no-APD-14-of-27042017
Summary decision of Competition Council Plenum No. ASR-11 as of 12.04.2017 ,https://competition.md/decizieview.php?l=en&idc=64&id=6008&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-ASR-11-as-of-12042017
Summary decision of Competition Council Plenum No. ASR-8 as of 03.04.2017 ,https://competition.md/decizieview.php?l=en&idc=64&id=6007&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-ASR-8-as-of-03042017
Summary decision of Competition Council Plenum No. ASO-4 as of 23.02.2017 ,https://competition.md/decizieview.php?l=en&idc=64&id=5972&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-ASO-4-as-of-23022017
Summary decision of Competition Council Plenum No. ASS-5 as of 23.02.2017,https://competition.md/decizieview.php?l=en&idc=64&id=5970&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-ASS-5-as-of-23022017
Summary decision of Competition Council Plenum No. ASR-1 as of 11.01.2017 ,https://competition.md/decizieview.php?l=en&idc=64&id=5916&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-ASR-1-as-of-11012017
"Summary decision of Competition Council Plenum No. APD-52 as of 07.12.2016",https://competition.md/decizieview.php?l=en&idc=64&id=5903&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-APD-52-as-of-07122016
Summary decision of Competition Council Plenum No. ASR - 55 as of 22.12.2016 ,https://competition.md/decizieview.php?l=en&idc=64&id=5901&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-ASR-55-as-of-22122016
Summary decision of Competition Council Plenum No. CEP - 45 as of 03.10.2016 ,https://competition.md/decizieview.php?l=en&idc=64&id=5830&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-CEP-45-as-of-03102016
Summary decision of Competition Council Plenum APD – 44 as of 29.09.2016,https://competition.md/decizieview.php?l=en&idc=64&id=5829&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-APD-44-as-of-29092016
Summary decision of Competition Council Plenum No. CEP - 43 as of 26.08.2016 ,https://competition.md/decizieview.php?l=en&idc=64&id=5806&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-CEP-43-as-of-26082016
Summary decision of Competition Council Plenum No. ASR - 41 as of 26.08.2016,https://competition.md/decizieview.php?l=en&idc=64&id=5804&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-ASR-41-as-of-26082016
Summary decision of Competition Council Plenum No. ASR - 42 as of 26.08.2016,https://competition.md/decizieview.php?l=en&idc=64&id=5802&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-ASR-42-as-of-26082016
Summary decision of Competition Council Plenum No. APD- 38 as of 27.07.2016 ,https://competition.md/decizieview.php?l=en&idc=64&id=5794&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-APD-38-as-of-27072016
Summary decision of Competition Council Plenum No. APD- 37 as of 27.07.2016,https://competition.md/decizieview.php?l=en&idc=64&id=5793&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-APD-37-as-of-27072016
Summary decision of Competition Council Plenum No. ASR - 39 as of 27.07.2016 ,https://competition.md/decizieview.php?l=en&idc=64&id=5784&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-ASR-39-as-of-27072016
Summary decision of Competition Council Plenum No. CN - 36 as of 21.07.2016 ,https://competition.md/decizieview.php?l=en&idc=64&id=5776&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-CN-36-as-of-21072016
Summary decision of Competition Council Plenum No. AAP-32 as of 23.06.2016 ,https://competition.md/decizieview.php?l=en&idc=64&id=5766&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-AAP-32-as-of-23062016
Summary decision of Competition Council Plenum No. CN - 30 as of 23.06.2016 ,https://competition.md/decizieview.php?l=en&idc=64&id=5760&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-CN-30-as-of-23062016
Summary decision of Competition Council Plenum No. APD - 31 as of 23.06.2016 ,https://competition.md/decizieview.php?l=en&idc=64&id=5759&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-APD-31-as-of-23062016
Summary decision of Competition Council Plenum No. DA - 24 as of 19.05.2016,https://competition.md/decizieview.php?l=en&idc=64&id=5748&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-DA-24-as-of-19052016
Summary decision of Competition Council Plenum No. CN -28 as of 03.06.2016,https://competition.md/decizieview.php?l=en&idc=64&id=5747&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-CN-28-as-of-03062016
Summary decision of Competition Council Plenum No. ASO-22 as of 19.05.2016,https://competition.md/decizieview.php?l=en&idc=64&id=5745&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-ASO-22-as-of-19052016
Summary decision of Competition Council Plenum No. ASS-21 from 21.04.2016 ,https://competition.md/decizieview.php?l=en&idc=64&id=5719&t=/Transparency/Decisions/Summary-decision-of-Competition-Council-Plenum-No-ASS-21-from-21042016
