Title Link,Title Summary / Content,Newspaper No,Page No,Date of publication,Content,Links Document,View the journal in PDF format
Journal n°7487du 23 mars 2001,Arrêté Ministériel n° 2011-315 du 31 mai 2011 portant licenciement d’un Agent de police stagiaire,8020,1074,10/06/2011,"Nous, Ministre d’Etat de la Principauté,

Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l’Etat, modifiée, notamment prise en ses articles 18 et 22 ;

Vu la loi n° 1.312 du 29 juin 2006 relative à la motivation des actes administratifs ;

Vu l’ordonnance souveraine n° 6.365 du 17 août 1978 fixant les conditions d’application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée ;

Vu l’arrêté ministériel n° 2010-306 du 24 juin 2010 portant nomination d’un Agent de police stagiaire ;

Vu la lettre recommandée avec accusé de réception en date du 4 avril 2011 portant convocation de l’Agent de police stagiaire à un entretien préalable à une éventuelle mesure de licenciement; 
Vu le compte-rendu de l’entretien en date du 28 avril 2011 relatant les explications fournies par l’Agent de police stagiaire en réponse aux griefs retenus à son encontre ;

Vu la délibération du Conseil de Gouvernement en date du 25 mai 2011 ;

Considérant les faits et griefs mentionnés dans la lettre de convocation à l’entretien susvisée, dûment notifiée à M. Anthony Barriere, caractérisant une insuffisance professionnelle, ainsi que les explications fournies en réponse par l’intéressé, telles qu’exposées dans le compte-rendu susvisé ;

Arrêtons :
Article Premier.
M. Anthony Barriere est licencié pour insuffisance professionnelle à compter du 6 juin 2011. 
Art. 2.
Le Secrétaire Général du Ministère d’Etat et le Directeur des Ressources Humaines et de la Formation de la Fonction Publique sont chargés, chacun en ce qui le concerne, de l’exécution du présent arrêté.

Fait à Monaco, en l’Hôtel du Gouvernement, le trente-et-un mai deux mille onze.


Le Ministre d’Etat,
M. Roger.",https://journaldemonaco.gouv.mc/Journaux/2011/Journal-8020/Arrete-Ministeriel-n-2011-315-du-31-mai-2011-portant-licenciement-d-un-Agent-de-police-stagiaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/f1cb856f44915f85eb39630e04699f62.pdf
Journal n°8020du 10 juin 2011,Arrêté Ministériel n° 2011-316 du 31 mai 2011 portant licenciement d’un Agent de police stagiaire,8020,1074,10/06/2011,"Nous, Ministre d’Etat de la Principauté,

Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l’Etat, modifiée, notamment prise en ses articles 18 et 22 ;

Vu la loi n° 1.312 du 29 juin 2006 relative à la motivation des actes administratifs ;

Vu l’ordonnance souveraine n° 6.365 du 17 août 1978 fixant les conditions d’application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée ;

Vu l’arrêté ministériel n° 2010-320 du 24 juin 2010 portant nomination d’un Agent de Police stagiaire ;

Vu la lettre recommandée avec accusé de réception en date du 4 avril 2011 portant convocation de l’Agent de police stagiaire à un entretien préalable à une éventuelle mesure de licenciement;

Vu le compte-rendu de l’entretien en date du 28 avril 2011 relatant les explications fournies par l’Agent de police stagiaire en réponse aux griefs retenus à son encontre ;

Vu la délibération du Conseil de Gouvernement en date du 25 mai 2011 ;

Considérant les faits et griefs mentionnés dans la lettre de convocation à l’entretien susvisée, dûment notifiée à Mlle Elisabeth Vernay, caractérisant une insuffisance professionnelle, ainsi que les explications fournies en réponse par l’intéressée, telles qu’exposées dans le compte-rendu susvisé ;

Arrêtons :
Article Premier.
Mlle Elisabeth Vernay est licenciée pour insuffisance professionnelle à compter du 6 juin 2011. 
Art. 2.
Le Secrétaire Général du Ministère d’Etat et le Directeur des Ressources Humaines et de la Formation de la Fonction Publique sont chargés, chacun en ce qui le concerne, de l’exécution du présent arrêté.

Fait à Monaco, en l’Hôtel du Gouvernement, le trente-et-un mai deux mille onze.

Le Ministre d’Etat,
M. Roger.",https://journaldemonaco.gouv.mc/Journaux/2011/Journal-8020/Arrete-Ministeriel-n-2011-316-du-31-mai-2011-portant-licenciement-d-un-Agent-de-police-stagiaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/f1cb856f44915f85eb39630e04699f62.pdf
Journal n°7643du 19 mars 2004,Arrêté Ministériel n° 2011-316 du 31 mai 2011 portant licenciement d’un Agent de police stagiaire,8020,1074,10/06/2011,"Nous, Ministre d’Etat de la Principauté,

Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l’Etat, modifiée, notamment prise en ses articles 18 et 22 ;

Vu la loi n° 1.312 du 29 juin 2006 relative à la motivation des actes administratifs ;

Vu l’ordonnance souveraine n° 6.365 du 17 août 1978 fixant les conditions d’application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée ;

Vu l’arrêté ministériel n° 2010-320 du 24 juin 2010 portant nomination d’un Agent de Police stagiaire ;

Vu la lettre recommandée avec accusé de réception en date du 4 avril 2011 portant convocation de l’Agent de police stagiaire à un entretien préalable à une éventuelle mesure de licenciement;

Vu le compte-rendu de l’entretien en date du 28 avril 2011 relatant les explications fournies par l’Agent de police stagiaire en réponse aux griefs retenus à son encontre ;

Vu la délibération du Conseil de Gouvernement en date du 25 mai 2011 ;

Considérant les faits et griefs mentionnés dans la lettre de convocation à l’entretien susvisée, dûment notifiée à Mlle Elisabeth Vernay, caractérisant une insuffisance professionnelle, ainsi que les explications fournies en réponse par l’intéressée, telles qu’exposées dans le compte-rendu susvisé ;

Arrêtons :
Article Premier.
Mlle Elisabeth Vernay est licenciée pour insuffisance professionnelle à compter du 6 juin 2011. 
Art. 2.
Le Secrétaire Général du Ministère d’Etat et le Directeur des Ressources Humaines et de la Formation de la Fonction Publique sont chargés, chacun en ce qui le concerne, de l’exécution du présent arrêté.

Fait à Monaco, en l’Hôtel du Gouvernement, le trente-et-un mai deux mille onze.

Le Ministre d’Etat,
M. Roger.",https://journaldemonaco.gouv.mc/Journaux/2011/Journal-8020/Arrete-Ministeriel-n-2011-316-du-31-mai-2011-portant-licenciement-d-un-Agent-de-police-stagiaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/f1cb856f44915f85eb39630e04699f62.pdf
Journal n°7612du 15 août 2003,Arrêté Ministériel n° 2011-316 du 31 mai 2011 portant licenciement d’un Agent de police stagiaire,8020,1074,10/06/2011,"Nous, Ministre d’Etat de la Principauté,

Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l’Etat, modifiée, notamment prise en ses articles 18 et 22 ;

Vu la loi n° 1.312 du 29 juin 2006 relative à la motivation des actes administratifs ;

Vu l’ordonnance souveraine n° 6.365 du 17 août 1978 fixant les conditions d’application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée ;

Vu l’arrêté ministériel n° 2010-320 du 24 juin 2010 portant nomination d’un Agent de Police stagiaire ;

Vu la lettre recommandée avec accusé de réception en date du 4 avril 2011 portant convocation de l’Agent de police stagiaire à un entretien préalable à une éventuelle mesure de licenciement;

Vu le compte-rendu de l’entretien en date du 28 avril 2011 relatant les explications fournies par l’Agent de police stagiaire en réponse aux griefs retenus à son encontre ;

Vu la délibération du Conseil de Gouvernement en date du 25 mai 2011 ;

Considérant les faits et griefs mentionnés dans la lettre de convocation à l’entretien susvisée, dûment notifiée à Mlle Elisabeth Vernay, caractérisant une insuffisance professionnelle, ainsi que les explications fournies en réponse par l’intéressée, telles qu’exposées dans le compte-rendu susvisé ;

Arrêtons :
Article Premier.
Mlle Elisabeth Vernay est licenciée pour insuffisance professionnelle à compter du 6 juin 2011. 
Art. 2.
Le Secrétaire Général du Ministère d’Etat et le Directeur des Ressources Humaines et de la Formation de la Fonction Publique sont chargés, chacun en ce qui le concerne, de l’exécution du présent arrêté.

Fait à Monaco, en l’Hôtel du Gouvernement, le trente-et-un mai deux mille onze.

Le Ministre d’Etat,
M. Roger.",https://journaldemonaco.gouv.mc/Journaux/2011/Journal-8020/Arrete-Ministeriel-n-2011-316-du-31-mai-2011-portant-licenciement-d-un-Agent-de-police-stagiaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/f1cb856f44915f85eb39630e04699f62.pdf
Journal n°7553du 28 juin 2002,Arrêté Ministériel n° 2011-316 du 31 mai 2011 portant licenciement d’un Agent de police stagiaire,8020,1074,10/06/2011,"Nous, Ministre d’Etat de la Principauté,

Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l’Etat, modifiée, notamment prise en ses articles 18 et 22 ;

Vu la loi n° 1.312 du 29 juin 2006 relative à la motivation des actes administratifs ;

Vu l’ordonnance souveraine n° 6.365 du 17 août 1978 fixant les conditions d’application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée ;

Vu l’arrêté ministériel n° 2010-320 du 24 juin 2010 portant nomination d’un Agent de Police stagiaire ;

Vu la lettre recommandée avec accusé de réception en date du 4 avril 2011 portant convocation de l’Agent de police stagiaire à un entretien préalable à une éventuelle mesure de licenciement;

Vu le compte-rendu de l’entretien en date du 28 avril 2011 relatant les explications fournies par l’Agent de police stagiaire en réponse aux griefs retenus à son encontre ;

Vu la délibération du Conseil de Gouvernement en date du 25 mai 2011 ;

Considérant les faits et griefs mentionnés dans la lettre de convocation à l’entretien susvisée, dûment notifiée à Mlle Elisabeth Vernay, caractérisant une insuffisance professionnelle, ainsi que les explications fournies en réponse par l’intéressée, telles qu’exposées dans le compte-rendu susvisé ;

Arrêtons :
Article Premier.
Mlle Elisabeth Vernay est licenciée pour insuffisance professionnelle à compter du 6 juin 2011. 
Art. 2.
Le Secrétaire Général du Ministère d’Etat et le Directeur des Ressources Humaines et de la Formation de la Fonction Publique sont chargés, chacun en ce qui le concerne, de l’exécution du présent arrêté.

Fait à Monaco, en l’Hôtel du Gouvernement, le trente-et-un mai deux mille onze.

Le Ministre d’Etat,
M. Roger.",https://journaldemonaco.gouv.mc/Journaux/2011/Journal-8020/Arrete-Ministeriel-n-2011-316-du-31-mai-2011-portant-licenciement-d-un-Agent-de-police-stagiaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/f1cb856f44915f85eb39630e04699f62.pdf
Journal n°7546du 10 mai 2002,Arrêté Ministériel n° 2011-316 du 31 mai 2011 portant licenciement d’un Agent de police stagiaire,8020,1074,10/06/2011,"Nous, Ministre d’Etat de la Principauté,

Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l’Etat, modifiée, notamment prise en ses articles 18 et 22 ;

Vu la loi n° 1.312 du 29 juin 2006 relative à la motivation des actes administratifs ;

Vu l’ordonnance souveraine n° 6.365 du 17 août 1978 fixant les conditions d’application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée ;

Vu l’arrêté ministériel n° 2010-320 du 24 juin 2010 portant nomination d’un Agent de Police stagiaire ;

Vu la lettre recommandée avec accusé de réception en date du 4 avril 2011 portant convocation de l’Agent de police stagiaire à un entretien préalable à une éventuelle mesure de licenciement;

Vu le compte-rendu de l’entretien en date du 28 avril 2011 relatant les explications fournies par l’Agent de police stagiaire en réponse aux griefs retenus à son encontre ;

Vu la délibération du Conseil de Gouvernement en date du 25 mai 2011 ;

Considérant les faits et griefs mentionnés dans la lettre de convocation à l’entretien susvisée, dûment notifiée à Mlle Elisabeth Vernay, caractérisant une insuffisance professionnelle, ainsi que les explications fournies en réponse par l’intéressée, telles qu’exposées dans le compte-rendu susvisé ;

Arrêtons :
Article Premier.
Mlle Elisabeth Vernay est licenciée pour insuffisance professionnelle à compter du 6 juin 2011. 
Art. 2.
Le Secrétaire Général du Ministère d’Etat et le Directeur des Ressources Humaines et de la Formation de la Fonction Publique sont chargés, chacun en ce qui le concerne, de l’exécution du présent arrêté.

Fait à Monaco, en l’Hôtel du Gouvernement, le trente-et-un mai deux mille onze.

Le Ministre d’Etat,
M. Roger.",https://journaldemonaco.gouv.mc/Journaux/2011/Journal-8020/Arrete-Ministeriel-n-2011-316-du-31-mai-2011-portant-licenciement-d-un-Agent-de-police-stagiaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/f1cb856f44915f85eb39630e04699f62.pdf
Journal n°7517du 19 octobre 2001,Arrêté Ministériel n° 2011-316 du 31 mai 2011 portant licenciement d’un Agent de police stagiaire,8020,1074,10/06/2011,"Nous, Ministre d’Etat de la Principauté,

Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l’Etat, modifiée, notamment prise en ses articles 18 et 22 ;

Vu la loi n° 1.312 du 29 juin 2006 relative à la motivation des actes administratifs ;

Vu l’ordonnance souveraine n° 6.365 du 17 août 1978 fixant les conditions d’application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée ;

Vu l’arrêté ministériel n° 2010-320 du 24 juin 2010 portant nomination d’un Agent de Police stagiaire ;

Vu la lettre recommandée avec accusé de réception en date du 4 avril 2011 portant convocation de l’Agent de police stagiaire à un entretien préalable à une éventuelle mesure de licenciement;

Vu le compte-rendu de l’entretien en date du 28 avril 2011 relatant les explications fournies par l’Agent de police stagiaire en réponse aux griefs retenus à son encontre ;

Vu la délibération du Conseil de Gouvernement en date du 25 mai 2011 ;

Considérant les faits et griefs mentionnés dans la lettre de convocation à l’entretien susvisée, dûment notifiée à Mlle Elisabeth Vernay, caractérisant une insuffisance professionnelle, ainsi que les explications fournies en réponse par l’intéressée, telles qu’exposées dans le compte-rendu susvisé ;

Arrêtons :
Article Premier.
Mlle Elisabeth Vernay est licenciée pour insuffisance professionnelle à compter du 6 juin 2011. 
Art. 2.
Le Secrétaire Général du Ministère d’Etat et le Directeur des Ressources Humaines et de la Formation de la Fonction Publique sont chargés, chacun en ce qui le concerne, de l’exécution du présent arrêté.

Fait à Monaco, en l’Hôtel du Gouvernement, le trente-et-un mai deux mille onze.

Le Ministre d’Etat,
M. Roger.",https://journaldemonaco.gouv.mc/Journaux/2011/Journal-8020/Arrete-Ministeriel-n-2011-316-du-31-mai-2011-portant-licenciement-d-un-Agent-de-police-stagiaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/f1cb856f44915f85eb39630e04699f62.pdf
Journal n°7487du 23 mars 2001,Arrêté Ministériel n° 2011-316 du 31 mai 2011 portant licenciement d’un Agent de police stagiaire,8020,1074,10/06/2011,"Nous, Ministre d’Etat de la Principauté,

Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l’Etat, modifiée, notamment prise en ses articles 18 et 22 ;

Vu la loi n° 1.312 du 29 juin 2006 relative à la motivation des actes administratifs ;

Vu l’ordonnance souveraine n° 6.365 du 17 août 1978 fixant les conditions d’application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée ;

Vu l’arrêté ministériel n° 2010-320 du 24 juin 2010 portant nomination d’un Agent de Police stagiaire ;

Vu la lettre recommandée avec accusé de réception en date du 4 avril 2011 portant convocation de l’Agent de police stagiaire à un entretien préalable à une éventuelle mesure de licenciement;

Vu le compte-rendu de l’entretien en date du 28 avril 2011 relatant les explications fournies par l’Agent de police stagiaire en réponse aux griefs retenus à son encontre ;

Vu la délibération du Conseil de Gouvernement en date du 25 mai 2011 ;

Considérant les faits et griefs mentionnés dans la lettre de convocation à l’entretien susvisée, dûment notifiée à Mlle Elisabeth Vernay, caractérisant une insuffisance professionnelle, ainsi que les explications fournies en réponse par l’intéressée, telles qu’exposées dans le compte-rendu susvisé ;

Arrêtons :
Article Premier.
Mlle Elisabeth Vernay est licenciée pour insuffisance professionnelle à compter du 6 juin 2011. 
Art. 2.
Le Secrétaire Général du Ministère d’Etat et le Directeur des Ressources Humaines et de la Formation de la Fonction Publique sont chargés, chacun en ce qui le concerne, de l’exécution du présent arrêté.

Fait à Monaco, en l’Hôtel du Gouvernement, le trente-et-un mai deux mille onze.

Le Ministre d’Etat,
M. Roger.",https://journaldemonaco.gouv.mc/Journaux/2011/Journal-8020/Arrete-Ministeriel-n-2011-316-du-31-mai-2011-portant-licenciement-d-un-Agent-de-police-stagiaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/f1cb856f44915f85eb39630e04699f62.pdf
Journal n°7643du 19 mars 2004,Ordonnance Souveraine n° 16.257 du 11 mars 2004 portant licenciement d'un fonctionnaire.,7643,431,19/03/2004,"RAINIER III 
PAR LA GRACE DE DIEU 
PRINCE SOUVERAIN DE MONACO


Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l'Etat ; 

Vu Notre ordonnance n° 6.365 du 17 août 1978 fixant les conditions d'application de la loi n° 975 du 12 juillet 1975, susvisée ; 

Vu Notre ordonnance n° 13.872 du 2 février 1999 portant nomination d'un Garçon de bureau au Service des Bâtiments Domaniaux ; 

Vu la délibération du Conseil de Gouvernement en date du 11 février 2004 qui Nous a été communiquée par Notre Ministre d'Etat ;

Avons Ordonné et Ordonnons :

M. David BRICO, Garçon de bureau au Service des Bâtiments Domaniaux, en position de disponibilité, pour convenances personnelles, depuis le 16 décembre 2000, est licencié avec effet du 16 décembre 2003. 

Notre Secrétaire d'Etat, Notre Directeur des Services Judiciaires et Notre Ministre d'Etat sont chargés, chacun en ce qui le concerne, de l'exécution de la présente ordonnance. 

Donné en Notre Palais à Monaco, le onze mars deux mille quatre. 


RAINIER. 


Par le Prince, 
Le Secrétaire d'Etat : 
R. NOVELLA.",https://journaldemonaco.gouv.mc/Journaux/2004/Journal-7643/Ordonnance-Souveraine-n-16.257-du-11-mars-2004-portant-licenciement-d-un-fonctionnaire.,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/bd9d35b64f4800d8d6da488507b4e4e2.pdf
Journal n°7612du 15 août 2003,Ordonnance Souveraine n° 15.913 du 1er août 2003 révoquant un fonctionnaire.,7612,1346,15/08/2003,"RAINIER III 
PAR LA GRACE DE DIEU 
PRINCE SOUVERAIN DE MONACO


Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l'Etat ; 

Vu Notre ordonnance n° 14.363 du 13 mars 2000 portant nomination d'un Commis-comptable au Service des Titres de Circulation ; 

Vu la proposition motivée émise par le Conseil de Discipline en date du 25 juin 2003 ; 

Vu la délibération du Conseil de Gouvernement en date du 9 juillet 2003 qui Nous a été communiquée par Notre Ministre d'Etat ; 

Avons Ordonné et Ordonnons : 

Mme Juliana GASTAUD, Commis-comptable au Service des Titres de Circulation, est révoquée. 

Notre Secrétaire d'Etat, Notre Directeur des Services Judiciaires et Notre Ministre d'Etat sont chargés, chacun en ce qui le concerne, de l'exécution de la présente ordonnance. 

Donné en Notre Palais à Monaco, le premier août deux mille trois.


RAINIER.

Par le Prince, 
P/Le Secrétaire d'Etat : 
Le Vice-Président du Conseil d'Etat : 
N. FRANCOIS.",https://journaldemonaco.gouv.mc/Journaux/2003/Journal-7612/Ordonnance-Souveraine-n-15.913-du-1er-aout-2003-revoquant-un-fonctionnaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/05d33fc1bd0e03db4f631acb54399aae.pdf
Journal n°7553du 28 juin 2002,Arrêté Ministériel n° 2002-376 du 21 juin 2002 portant licenciement d'un Agent de police stagiaire.,7553,1065,28/06/2002,"Nous, Ministre d'Etat de la Principauté,Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l'Etat ;Vu l'ordonnance souveraine n° 6.365 du 17 août 1978 fixant les conditions d'application de la loi n° 975 du 12 juillet 1975, précitée ;Vu l'arrêté ministériel n° 2000-614 du 28 décembre 2000 portant nomination d'un Agent de police stagiaire ;Vu la délibération du Conseil de Gouvernement en date du 5 juin 2002 ;Arrêtons : Article Premier.M. Philippe SAVARY, Agent de police stagiaire à la Direction de la Sûreté Publique, est licencié avec effet du 15 juin 2002. Art. 2.Le Secrétaire Général du Ministère d'Etat et le Directeur de la Fonction Publique et des Ressources Humaines sont chargés, chacun en ce qui le concerne, de l'exécution du présent arrêté.Fait à Monaco, en l'Hôtel du Gouvernement, le vingt-et-un juin deux mille deux. Le Ministre d'Etat,P. LECLERCQ.",https://journaldemonaco.gouv.mc/Journaux/2002/Journal-7553/Arrete-Ministeriel-n-2002-376-du-21-juin-2002-portant-licenciement-d-un-Agent-de-police-stagiaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/b851d9f6d1786a6a7120599361de96d4.pdf
Journal n°7546du 10 mai 2002,Ordonnance Souveraine n° 15.342 du 6 mai 2002 portant révocation d'un Brigadier de police,7546,780,10/05/2002,"RAINIER IIIPAR LA GRACE DE DIEUPRINCE SOUVERAIN DE MONACO Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l'Etat ;Vu Notre ordonnance n° 6.365 du 17 août 1978 fixant les conditions d'application de la loi n° 975 du 12 juillet 1975, susvisée ;Vu Notre ordonnance n° 10.638 du 8 août 1992 portant nomination d'un Brigadier à la Direction de la Sûreté Publique ;Vu la proposition motivée émise par le Conseil de Discipline en date du 16 avril 2002 ;Vu la délibération du Conseil de Gouvernement en date du 24 avril 2002 qui Nous a été communiquée par Notre Ministre d'Etat ;Avons Ordonné et Ordonnons :M. Serge GIET, Brigadier à la Direction de la Sûreté Publique, est révoqué.Notre Secrétaire d'Etat, Notre Directeur des Services Judiciaires et Notre Ministre d'Etat sont chargés, chacun en ce qui le concerne, de l'exécution de la présente ordonnance.Donné en Notre Palais à Monaco, le six mai deux mille deux. RAINIER. Par le Prince,Le Secrétaire d'Etat :R. NOVELLA.",https://journaldemonaco.gouv.mc/Journaux/2002/Journal-7546/Ordonnance-Souveraine-n-15.342-du-6-mai-2002-portant-revocation-d-un-Brigadier-de-police,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/0c62b2f686b15b2c80f15ad73ae6a268.pdf
Journal n°7517du 19 octobre 2001,Ordonnance Souveraine n° 15.072 du 12 octobre 2001 portant licenciement d'une fonctionnaire,7517,1526,19/10/2001,"RAINIER IIIPAR LA GRACE DE DIEUPRINCE SOUVERAIN DE MONACO Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l'Etat ;Vu Notre ordonnance n° 6.365 du 17 août 1978 fixant les conditions d'application de la loi n° 975 du 12 juillet 1975, susvisée ;Vu Notre ordonnance n° 12.149 du 20 janvier 1997 portant nomination d'une Employée du bureau au Service des Archives Centrales ;Vu la délibération du Conseil de Gouvernement en date du 12 septembre 2001 qui Nous a été communiquée par Notre Ministre d'Etat ;Avons Ordonné et Ordonnons :Mme Joëlle MAGAGNIN, Employée de bureau au Service des Archives Centrales, en position de disponibilité, pour convenances personnelles, depuis le 15 mars 1999, est licenciée avec effet du 15 mars 2001.Notre Secrétaire d'Etat, Notre Directeur des Services Judiciaires et Notre Ministre d'Etat sont chargés, chacun en ce qui le concerne, de l'exécution de la présente ordonnance.Donné en Notre Palais à Monaco, le douze octobre deux mille un. RAINIER.Par le Prince,Le Secrétaire d'Etat:R. NOVELLA.",https://journaldemonaco.gouv.mc/Journaux/2001/Journal-7517/Ordonnance-Souveraine-n-15.072-du-12-octobre-2001-portant-licenciement-d-une-fonctionnaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/4400d96e5c76a39a3dc61ac8f188beff.pdf
Journal n°7487du 23 mars 2001,Ordonnance Souveraine n° 14.791 du 16 mars 2001 portant licenciement d'un fonctionnaire.,7487,367,23/03/2001,"RAINIER IIIPAR LA GRACE DE DIEUPRINCE SOUVERAIN DE MONACO Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l'Etat ;Vu Notre ordonnance n° 6.365 du 17 août 1978 fixant les conditions d'application de la loi n° 975 du 12 juillet 1975, susvisée ;Vu Notre ordonnance n° 13.200 du 2 octobre 1997 portant nomination et titularisation d'un Agent de police ;Vu la délibération du Conseil de Gouvernement en date du 21 février 2001 qui Nous a été communiquée par Notre Ministre d'Etat ;Avons Ordonné et Ordonnons :M. Anthony GAZANION, Agent de police à la Direction de la Sûreté Publique, en position de disponibilité, pour convenances personnelles, depuis le 1er décembre 1997, est licencié avec effet du 1er décembre 2000.Notre Secrétaire d'Etat, Notre Directeur des Services Judiciaires et Notre Ministre d'Etat sont chargés, chacun en ce qui le concerne, de l'exécution de la présente ordonnance.Donné en Notre Palais à Monaco, le seize mars deux mille un. RAINIER. Par le Prince,Le Secrétaire d'Etat :R. NOVELLA.",https://journaldemonaco.gouv.mc/Journaux/2001/Journal-7487/Ordonnance-Souveraine-n-14.791-du-16-mars-2001-portant-licenciement-d-un-fonctionnaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/6d4754df20a3393ad729fa938fff9f09.pdf
