Category,Client Name,Trade Name 1,Trade Name 2,Trade Name 3,Trade Name 4
ADMINISTRATION AND PERSONAL ASSISTANT SERVICES,"Knowles, Lynell",Immigration Forms Specialist,,,
ADMINISTRATION AND PERSONAL ASSISTANT SERVICES,"Stuart, Nannette Shanta",Venice Ventures Bahamas,,,
ADMINISTRATION AND PERSONAL ASSISTANT SERVICES,"Lockhart, Yvonne Veronica and Wilson, Trudy Johanna",,,,
ADMINISTRATION AND PERSONAL ASSISTANT SERVICES,"Hall, Hannah Donna and Miller, Laura Eleanor",Complete Concierge Services,,,
ADMINISTRATION AND PERSONAL ASSISTANT SERVICES,"Campbell, Jasmin Rashera",,,,
ADMINISTRATION AND PERSONAL ASSISTANT SERVICES,"Cuccurullo, Ta'Shar Marina","Let Us Help, We Care, Professional Services",,,
ADMINISTRATION AND PERSONAL ASSISTANT SERVICES,"Smith, Shaddia Veronica",Admin Advantage Solutions,,,
ADMINISTRATION AND PERSONAL ASSISTANT SERVICES,"Seymour, Antonise",Metamorphosis Management Services,,,
ADMINISTRATION AND PERSONAL ASSISTANT SERVICES,"Been, Andea",,,,
ADVERTISING SERVICES,"Outten, Frankelle",Nexus Advantage Connect,,,
ADVERTISING SERVICES,"Seymour, Emrinique",,,,
ADVERTISING SERVICES,"Romer, Hayward Christian",Remor Media,,,
ADVERTISING SERVICES,MYB Solutions Ltd.,,,,
ADVERTISING SERVICES,Sunvest Limited,,,,
ADVERTISING SERVICES,Grand Bahama Sports Promotion Association Ltd.,,,,
ADVERTISING SERVICES,"Smith, Asher",Myo Graphics,,,
ADVERTISING SERVICES,"Miller, Lorenzo Tarrel",Drive There,,,
ADVERTISING SERVICES,"Adderley, Peter",Creative Works,Feel The Rush,Just Rush,
ADVERTISING SERVICES,Barefoot Marketing Limited,,,,
ADVERTISING SERVICES,Airport Advertizing Freeport Limited,,,,
ADVERTISING SERVICES,"Ward, Joseph V.",,,,
ADVERTISING SERVICES,Fast Track Management Ltd.,,,,
ADVERTISING SERVICES - DIGITAL,"Outten, Frankelle",,,,
ADVERTISING SERVICES - DIGITAL,"Canter, Teia N.",Exteri-Ad Advertisement,,,
ADVERTISING SERVICES - DIGITAL,"Hall, Brandon Immanuel",Advertere Marketing,,,
AGGREGATE - LIMESTONE MINING & SALES,Bahama Cement Company,,,,
AGGREGATE - LIMESTONE MINING & SALES,Freeport Aggregates Limited,,,,
AGGREGATE - LIMESTONE MINING & SALES,Bahama Rock Limited,,,,
AGGREGATE - SALES,Bahama Rock Limited,,,,
AGGREGATE - SALES,"Freeport Construction Company, Limited",,,,
AGGREGATE - SALES,Calcean Ltd.,,,,
AGGREGATE - SALES,RSA Tractor Services Limited,,,,
AGGREGATE - SALES,Cemex Bahamas Ltd.,,,,
AGGREGATE - SALES,A. & C. Heavy Equipment & Trucking Limited,,,,
AGGREGATE - SALES,C.L. & H. Services Ltd.,,,,
AGGREGATE - SALES,Freeport Aggregates Limited,,,,
AGGREGATE - SALES,Bahama Cement Company,,,,
AGGREGATE - SALES,"Gaitor, Andrew L.",,,,
AIRCONDITIONING - INSTALLATION/MAINTENANCE,"Ferguson, James A. and Sweeting, Delcardo",Right On Time Air-Conditioning & Refrigeration,,,
AIRCONDITIONING - INSTALLATION/MAINTENANCE,"Strachan, Kendal",Cool Air Conditioning Service,,,
AIRCONDITIONING - INSTALLATION/MAINTENANCE,"Roker, Eugene Bryant",,,,
AIRCONDITIONING - INSTALLATION/MAINTENANCE,"Russell, Vernon J.",Supreme Air Conditioning,,,
AIRCONDITIONING - INSTALLATION/MAINTENANCE,"Russell, Shawn",Jus Cool Airconditioning,,,
AIRCONDITIONING - INSTALLATION/MAINTENANCE,"Thompson, Whitfield",Thompson Auto A/C Service,,,
AIRCONDITIONING - INSTALLATION/MAINTENANCE,Absolute Comfort Limited,,,,
AIRCONDITIONING - INSTALLATION/MAINTENANCE,"Russell, Godfrey W.",Russell's Air Conditioning,,,
AIRCONDITIONING - INSTALLATION/MAINTENANCE,Modern Airconditioning & Refrigeration Company Ltd.,,,,
AIRCONDITIONING - SALES,Modern Airconditioning & Refrigeration Company Ltd.,,,,
AIRCONDITIONING - SALES,Absolute Comfort Limited,,,,
AIRCONDITIONING - SALES,Atlantic Air Conditioning Company Limited,,,,
AIRCONDITIONING - SALES,"Rolle, Steven Alexander",,,,
AIRCONDITIONING - SALES,"Bethel, Craig H.",,,,
AIRCONDITIONING - SALES,"Claude, Edward",,,,
AIRCONDITIONING - SALES,"Bethel, Nelson and Bethel, Nelvolari",,,,
AIRCONDITIONING - SALES,Best Airconditioning And Refrigeration Co. Ltd.,,,,
AIRPORT OPERATION,Grand Bahama Airport Company Limited,,,,
AIRPORT OPERATION,Freeport Airport Development Company Limited,,,,
AMBULANCE SERVICE,Medical Air Services Association Bahamas Limited,,,,
AMBULANCE SERVICE,Health Enhancement Ltd.,,,,
AMBULANCE SERVICE,"Life Sight Vision Centre (Freeport) Ltd.
",,,,
AMBULANCE SERVICE,"Charite, George",,,,
AMUSEMENT ARCADE/GAME ROOM,"Moss, Brent, Edwards-Moss, Kataina and Clarke, Helen",Step into the Zone Amusement,,,
AMUSEMENT ARCADE/GAME ROOM,"Duncombe, Scheffan and Duncombe, Shenell",The Ultimate Zone,,,
AMUSEMENT ARCADE/GAME ROOM,"Comarcho, Errol Lloyd",,,,
AMUSEMENT ARCADE/GAME ROOM,Fast Track Limited,,,,
ANIMAL - PET GROOMING,"Knowles, Patrina",,,,
ANIMAL - SHELTER AND CARE,Humane Society of Grand Bahama,,,,
ANIMALS - SALE OF PET SUPPLIES,"Hanna, Owen G. Dr., and Sonivia V. Hanna",,,,
ANIMALS - SALE OF PET SUPPLIES,"Bahamas Parks, Gardens and Recreations Limited",,,,
ANTIQUE STORE,Ye Old Curiosity Shop Limited,,,,
ANTIQUE STORE,G.B. Gems Ltd.,,,,
ANTIQUE STORE,"Dann, Adam Henry",GB Trading Post,,,
APPLIANCE - SALES,"Cash, Hilvin Vandril",Laundry Solutions Bahamas,,,
APPLIANCE - SALES,Valueline Furniture Company Ltd.,,,,
APPLIANCE - SALES,Freeport Appliance and Maintenance Services Limited,,,,
APPLIANCE - SALES,Advance Controls and Equipment Company (Bahamas) Limited,,,,
APPLIANCE - SALES,Caribbean Electrical & Appliances Distributors Company Limited,,,,
APPLIANCE - SALES,Conet Bahamas Limited,,,,
APPLIANCE - SALES,Tribah Alliance Limited,,,,
APPLIANCE - SALES,Grand Bahama Industrial Supplies & Gases Limited,,,,
APPLIANCE - SALES,Lease To Own Ltd.,,,,
APPLIANCE - SALES,"Strachan, Don C.",,,,
APPLIANCE - SERVICE/REPAIR,"Laing, Gregory Q.",LAING'S APPLIANCE REPAIR SERVICES,,,
APPLIANCE - SERVICE/REPAIR,Advance Controls and Equipment Company (Bahamas) Limited,,,,
APPLIANCE - SERVICE/REPAIR,"Cartwright, Bernard C.",Hi Tech Propane,,,
APPLIANCE - SERVICE/REPAIR,"Cartwright, Shane",Extreme Tech Services,,,
APPRAISER,"Ferguson, Renio A.",,,,
ARCHITECT - PROFESSION,"Van Popering, Bart",Bart Van Popering & Associates,,,
ARCHITECT - PROFESSION,Bron Ltd.,,,,
ARCHITECT - PROFESSION,"Rolle, Alvan",,,,
ARCHITECT - PROFESSION,"Chisholm, Lawrence",,,,
ARCHITECT - PROFESSION,"Jones, Winston and Associates Architects Limited",,,,
ARCHITECT - PROFESSION,Phoenix Engineering Group and Associates Limited,,,,
ARCHITECT - PROFESSION,"Lewis, Iram Dewitt, Jr.",LEWIS ARCHITECTURAL SERVICES,,,
ARCHITECT - PROFESSION,"Woods, Wellington",,,,
ARCHITECT - PROFESSION,Precision Architectural Designs Limited,,,,
ARCHITECT - PROFESSION,"Miller, Burton A.",Architects and Engineers,,,
ARCHITECT - PROFESSION,"Architects Incorporate Limited, The",,,,
ARCHITECT - PROFESSION,"Alexiou, Michael C.","ALEXIOU & ASSOCIATES, ARCHITECTS",,,
ARCHITECT - PROFESSION,"Grant, Wendell Carver and Company Limited",,,,
ARCHITECT - PROFESSION,"Moss, Charles",,,,
ARCHITECT - PROFESSION,"Hepburn, Carlos Julian",Carlos Julian Hepburn,,,
ARCHITECT - PROFESSION,"Farrington, Sean Astley",Diamond Consultant Group,,,
ARCHITECT - PROFESSION,Michael Diggiss & Associates Company Ltd.,,,,
ARCHITECT - TECHNICIAN,"Saunders-Kemp, Roscoe",,,,
ARCHITECT - TECHNICIAN,"Simms, Basil",BA SHIN ARCHITECTURAL SERVICES,,,
ARCHITECT - TECHNICIAN,"Moss, Edwin",,,,
ARCHITECT - TECHNICIAN,"Thompson, Hartley Eugene, II",H. Eugene Thompson Architectural Technician,,,
ARCHITECT - TECHNICIAN,"Toote, Eugene",,,,
ARCHITECT - TECHNICIAN,"Russell, Kenneth",,,,
ARCHITECT - TECHNICIAN,"Bevans, Roland S.",RB's Drafting Services,,,
ARCHITECT - TECHNICIAN,Bruce Lafluer and Associates Limited,,,,
ARCHITECT - TECHNICIAN,"Evans, Jermaine H.",,,,
ARCHITECT - TECHNICIAN,"Butterfield, Trevor Adrian",Opulent Architecural Creations,,,
ARCHIVES - DOCUMENT,Shred Secure Bahamas Company Limited,,,,
ARCHIVES - DOCUMENT,Records Archiving & Management Limited,,,,
ARMOURED CAR SERVICES,Armoured Car Services Ltd.,,,,
ARMOURED CAR SERVICES,Security Services (Bahamas) Limited,,,,
ARMOURED CAR SERVICES,I.C.S. of The Bahamas Co. Ltd.,,,,
ART GALLERY,"Bahamas Parks, Gardens and Recreations Limited",,,,
ART GALLERY,"Rolle, Michael and Rolle, Coral",Gold Leaf Art Gallery,,,
ART GALLERY,"Brown, Leo",,,,
ART GALLERY,Scribes Edutainment Ltd.,Grand Gallery The,,,
"ART, CRAFT & RELATED SUPPLIES","Hall, Zekeya",,,,
"ART, CRAFT & RELATED SUPPLIES","Wright, Yeovil",,,,
"ART, CRAFT & RELATED SUPPLIES","Jervis, Claudine Ann",,,,
"ART, CRAFT & RELATED SUPPLIES","Hanchell, Thomas",,,,
"ART, CRAFT & RELATED SUPPLIES",Bahamian Tings Limited,,,,
"ART, CRAFT & RELATED SUPPLIES","Ferguson, Luther",,,,
"ART, CRAFT & RELATED SUPPLIES","Dames, LaShawn",Island Soap House Bahamas,,,
"ART, CRAFT & RELATED SUPPLIES","Carey, Marlon",,,,
"ART, CRAFT & RELATED SUPPLIES","Saint, Sheldon H.V.",,,,
ARTIST,"Saint, Sheldon H.V.",Sheldon Saint Studio,,,
ARTIST,"Swain, Hadassah A.",The Painting Bar,,,
ARTIST,"Wildgoose, Birkley Matthew",It Is What It Is Art Gallery,,,
ASSEMBLY OF PRODUCTS,Black and Blacks Company Limited,,,,
ASSEMBLY OF PRODUCTS,Techsol Ltd.,,,,
ASSEMBLY OF PRODUCTS,Lucayan Furniture Co. Ltd.,,,,
ASSEMBLY OF PRODUCTS,Contractors Direct Ltd.,CDL Do It Centre,CDL Home Design Centre,Incom Supply,
ATTORNEY-AT-LAW,"Leonard, Carey G.",SHEFFIELDS,,,
ATTORNEY-AT-LAW,"Dorsette, Tara D.",Dorsette Law Chambers,,,
ATTORNEY-AT-LAW,"Knowles, Edwin L.",SESSIONS HOUSE CHAMBERS,,,
ATTORNEY-AT-LAW,"Gouthro, William Christopher",GOUTHRO & COMPANY ATTORNEYS-AT-LAW,,,
ATTORNEY-AT-LAW,"Forbes, Andrew D.",Cambridge Law Chambers,,,
ATTORNEY-AT-LAW,"Dennison, Tiffany C.",Dennison & Co.,,,
ATTORNEY-AT-LAW,"Mackay, Charles and Moxey, James",MACKAY & MOXEY,,,
ATTORNEY-AT-LAW,"McIntosh, Cassietta Z.",McIntosh & Co.,,,
ATTORNEY-AT-LAW,"Smith-Pinder, Rocelia Naomi",Smith-Law Chambers,,,
ATTORNEY-AT-LAW,"Parris, Arthur K. & Whittaker, Jacy A.J. & Parris-Whittaker, Anthea K.",ParrisWhittaker,,,
ATTORNEY-AT-LAW,"Brown, Simone Rochelle",Brown Law Chambers,,,
ATTORNEY-AT-LAW,"Smith, Wendell A.",Wendell A. Smith Law Chambers,,,
ATTORNEY-AT-LAW,"Cafferata, Adam D. R. and Antoni, Michael Kirk",CAFFERATA & CO.,,,
ATTORNEY-AT-LAW,"McDonald, Constance E.",McDONALD & CO.,,,
ATTORNEY-AT-LAW,"Bridgewater, Pleasant M. M.",Bridgewater & Co.,,,
ATTORNEY-AT-LAW,"Gray, V. Alfred",V. ALFRED GRAY & CO.,,,
ATTORNEY-AT-LAW,"Clarke, Natalie",N. Clarke & Company,,,
ATTORNEY-AT-LAW,"Claude, Gwendolyn Cheryl Hamilton",HAMILTON CLAUDE & CO.,,,
ATTORNEY-AT-LAW,"Shurland, Carlson H.",Shurland & Co.,,,
ATTORNEY-AT-LAW,"Davis, Philip, McKenzie, Philip and Winder, Ian",Davis & Co.,,,
ATTORNEY-AT-LAW,"Moss, Gregory K.",Moss & Associates,,,
ATTORNEY-AT-LAW,"Callender, Sean B.",Sean B. Callender & Co.,,,
ATTORNEY-AT-LAW,"Thompson, David C.",David C. Thompson & Co.,,,
ATTORNEY-AT-LAW,"Russell, Kevin M.",KEVIN M. RUSSELL & CO,,,
ATTORNEY-AT-LAW,"Feldman, Andre J.",,,,
ATTORNEY-AT-LAW,"Hanna, Brian",K. Brian Hanna,,,
ATTORNEY-AT-LAW,"Johnson, Ayse Rengin Dengizer",,,,
ATTORNEY-AT-LAW,"Grant, Veronica D.",VERONICA D. GRANT & CO.,,,
ATTORNEY-AT-LAW,"Sean McWeeney QC, Judith Whitehead, Michelle Pindling-Sands","Graham, Thomson & Co.",,,
ATTORNEY-AT-LAW,"Carroll, Norris",NORRIS R. CARROLL AND COMPANY,,,
ATTORNEY-AT-LAW,"Glinton, Maurice O. & Glinton, Meryl O.",Glintons Associated & Co.,Maurice O. Glinton & Co.,,
ATTORNEY-AT-LAW,"Thompson, James R.",James R.Thompson and Company,,,
ATTORNEY-AT-LAW,"Tynes, Harvey and Tynes, Grace",Tynes and Tynes,,,
ATTORNEY-AT-LAW,"Whitfield, Cecil V. Wallace",,,,
ATTORNEY-AT-LAW,"Bostwick, Janet and Henry",BOSTWICK & BOSTWICK,,,
ATTORNEY-AT-LAW,"Wilchcombe, Stephen B.",,,,
ATTORNEY-AT-LAW,"Brian M. Moree, Timothy A. Eneas, Sean N.C. Moree, Lourey C. Smith,","McKINNEY, BANCORFT & HUGHES",,,
ATTORNEY-AT-LAW,"Scott-Clare, Carla S.",Scott-Clare & Co.,,,
ATTORNEY-AT-LAW,"McDonald, Phalicia P.",,,,
ATTORNEY-AT-LAW,"Griffin-Longe, Shavanthi",Griffin Longe Law,,,
ATTORNEY-AT-LAW,"Nottage, Kendal W., and Jethro Miller","Nottage, Miller & Co.",,,
ATTORNEY-AT-LAW,"Burrows, Jethlyn A.",Musgrove Burrows Law Chambers,,,
ATTORNEY-AT-LAW,"Johnstone, Geoffrey A.D., Higgs, Peter T.; Dunkley, Phillip C.; Lowe, Roland J.; Cash, Earl A.; John",HIGGS & JOHNSON,,,
ATTORNEY-AT-LAW,"Smith, Frederick R. M. & Mortimer Jr., Lester J.",Callenders & Co.,,,
ATTORNEY-AT-LAW,"Gape, Terence, McCartney, Frederica G. and Lashley, Caryl A.E.",,,,
ATTORNEY-AT-LAW,"Rahming, Samuel Leo",Samuel L. Rahming Law Chambers,,,
AUTOMOBILE - CAR WASH SERVICE,"Davis Jr., Stanley",Supreme Auto Wash,,,
AUTOMOBILE - CAR WASH SERVICE,"Charite Jr., George Charles",Kidd's Mobile Detailing,,,
AUTOMOBILE - CAR WASH SERVICE,"Nicholls, Travaughn Malik",Da Wash,,,
AUTOMOBILE - CAR WASH SERVICE,"Saunders, Wallace D.",Wheel World Tires,,,
AUTOMOBILE - CAR WASH SERVICE,Bullseye Car & Scooter Rentals Limited,,,,
AUTOMOBILE - CAR WASH SERVICE,R.T. Investments Ltd.,,,,
AUTOMOBILE - DETAILING,"Mitchell, Daniel S.E.","Auto Riser, The",,,
AUTOMOBILE - DETAILING,Bullseye Car & Scooter Rentals Limited,,,,
AUTOMOBILE - DETAILING,"Saunders, Wallace D.",,,,
AUTOMOBILE - DETAILING,"Charite Jr., George Charles",,,,
AUTOMOBILE - LEASING,Freeport Taxi Company Limited,,,,
AUTOMOBILE - LEASING,Mack Investments Company Limited,,,,
AUTOMOBILE - LEASING,KSR Rent A Car Limited,,,,
AUTOMOBILE - LEASING,Bullseye Car & Scooter Rentals Limited,,,,
AUTOMOBILE - LIMOUSINE SERVICES,Bullseye Car & Scooter Rentals Limited,,,,
AUTOMOBILE - LIMOUSINE SERVICES,D'S Car Rental Ltd.,,,,
AUTOMOBILE - LIMOUSINE SERVICES,H. Forbes Charter Services Limited,,,,
AUTOMOBILE - MOTOR SCOOTER - RENTAL,Ellen Invesments Ltd.,,,,
AUTOMOBILE - MOTOR SCOOTER - RENTAL,International Car Rental (Freeport) Limited,,,,
AUTOMOBILE - MOTOR SCOOTER - RENTAL,"Bowe, Cassius & Bowe, Virginia",,,,
AUTOMOBILE - MOTOR SCOOTER - RENTAL,Bullseye Car & Scooter Rentals Limited,,,,
AUTOMOBILE - RENTAL,Ellen Invesments Ltd.,Sun Auto Parts & Accessories and Celebrity Rent-A-Car,,,
AUTOMOBILE - RENTAL,"Lewis, Larry P.",,,,
AUTOMOBILE - RENTAL,Ande Limited,Knowles Car Rental,,,
AUTOMOBILE - RENTAL,Comarcho Auto Limited,,,,
AUTOMOBILE - RENTAL,KSR Rent A Car Limited,,,,
AUTOMOBILE - RENTAL,Islander Rent-A-Car (1993) Limited,,,,
AUTOMOBILE - RENTAL,Theoc Investment Limiited,,,,
AUTOMOBILE - RENTAL,Millie's Car Rental Co. Ltd.,,,,
AUTOMOBILE - RENTAL,Cartwright's Auto Company Limited,,,,
AUTOMOBILE - RENTAL,Five Wheels (1986) Limited,,,,
AUTOMOBILE - RENTAL,"Smith, Rashard",R.A.S Car Rentals,,,
AUTOMOBILE - RENTAL,Bullseye Car & Scooter Rentals Limited,,,,
AUTOMOBILE - RENTAL,D'S Car Rental Ltd.,,,,
AUTOMOBILE - RENTAL,Miller's Auto Connection Company Limited,,,,
AUTOMOBILE - RENTAL,Express Rent-A-Car Ltd.,,,,
AUTOMOBILE - RENTAL,Sidmac Car Rentals Ltd.,,,,
AUTOMOBILE - RENTAL,"Bowe, Cassius & Bowe, Virginia",C & V Car Rental & Scooter,,,
AUTOMOBILE - RENTAL,"Williams, Darren Brent",,,,
AUTOMOBILE - RENTAL,Plucks Import Export Limited,,,,
AUTOMOBILE - RENTAL,International Car Rental (Freeport) Limited,,,,
AUTOMOBILE - RENTAL,Swift Auto Rentals Ltd.,,,,
AUTOMOBILE - RENTAL,Freeport Taxi Company Limited,,,,
AUTOMOBILE - RENTAL,Airport Rent-A-Car (Freeport) Limited,AVIS RENT-A-CAR,,,
AUTOMOBILE - RENTAL,"Forbes, Don and Emma",E'Don Enterprise,,,
AUTOMOBILE - RENTAL,"Dean, Steve and Dean, Vincent",,,,
AUTOMOBILE - RENTAL,"Pinder, Khamaron",Lugga's Auto Car Rental & Sales,,,
AUTOMOBILE - RENTAL,Tons Enterprises Ltd.,Convenient Rentals,,,
AUTOMOBILE - RENTAL,"Palmer, George & Eleanor",Freeport Rental Cars,,,
AUTOMOBILE - RENTAL,Palm Avenue Investment Ltd.,Dolphin Cove Car Rental,,,
AUTOMOBILE - RENTAL,Latina's Car Rental Co. Ltd.,Mr. T Car Rental,,,
AUTOMOBILE - RENTAL,"Jolly, Terry & Jolly, Meaghan",Price Right Rental,,,
AUTOMOBILE - RENTAL,"Knowles, Julian Alexander",,,,
AUTOMOBILE - RENTAL,"Smith, Moses",,,,
AUTOMOBILE - RENTAL,Triple B Enterprises Bahamas Ltd.,,,,
AUTOMOBILE - RENTAL,"Ferguson, Khambrel Leslie & Ferguson, Aisha Zakia",Leslie's Rides,,,
AUTOMOBILE - RENTAL,"Carey, Lakhal",,,,
AUTOMOBILE - RENTAL,"Storr, Reuben James",,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Wright, Lamah",,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Five Wheels (1986) Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Expert Tyre & Auto Mart Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Cartwright's Auto Company Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Quality Auto Sales (Freeport) Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"G.B. Muffler and Radiator, Limited",,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Mack Investments Company Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Hawksbill Service Centre Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Jeremmie's Auto Sales & Parts Ltd.,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Municipal Motors Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Thompson, Irskine E. and Judy",J's Parts & Accessories,Muffler House The,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Rolle, Joel",Everstar Auto,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Ferguson, Kevin",,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Buerger Roofing & Sheet Metal Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Arturo's Investments Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Black and Blacks Company Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,D.K.S. Motors Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Roker, Kenton",Roker's Auto,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"McCartney, Andre and Jacquelin",A.J'S AUTO,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Starter Specialist Auto Ltd.,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Marshall, Stephen Robert",Poor Man's Auto Repair,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Malone, Gordon Craig",CRAIG'S CAR CLINIC,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Taylor, Miguel D'Andre",Fill Up Mobile Fuel Service,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"McBride, Fresco",Top Class Collision Repair Services,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Saintil, Henry Junior",Cylinder Head Mechanic,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Johnson, David Julian",Dave's Mechanic Services,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Marshall, Stephen Jason L.",Maximum Auto And Auto Salvage,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Automotive And Industrial Distributors Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Bahamas Motor Corporation Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Freeport Taxi Company Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Freeport Jet Wash & Auto-Mart Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Freeport Starter Generator Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Johnson, Jason",Johnson's Import/Export,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Pickstock, Kenolle and Pickstock, Jason",A.D.E. Tech Solutions,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Rampersaud, Mark",Freeport Car Pros,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"McMasters, Godfrey",McMasters Auto Repairs,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Kent Motors Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Plucks Import Export Limited,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Hanna, Kendrick",Auto Care Clinic,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Williams, Geneta",Dwight & G's Family Auto Body Repair & Paint,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Smith, Roderick",T Boy Auto Garage,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Steer, Melbourne",LDS Auto,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Thompson, Delano",Round Da Clock Auto,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,Albury's Freeport Ltd.,Carquest Freeport,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Williams-Wilson, Nadra",C.N.W. AUTO,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,D'S Car Rental Ltd.,,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Stubbs, Rebecca",Stubbs Reliable Towing/Parts & Repairs,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Robinson, Solomon, Sr. and Robinson, Solomon, Jr.",S & S Mechanic,,,
AUTOMOBILE - REPAIR/GARAGE - OPERATION,"Missick, Eustace Anthony",Triple A Alternator and Starter,,,
