Broker Names,Broker Filer Code,Address,Phone,Details Page Link
OEM BROKERAGE AND TRADE CONSULTING SERVICE,'8XP,"165 W CAMINO FUSTE  SAHUARITA, AZ 85621  United States",+1 520-940-8381,https://www.cbp.gov/about/contact/find-broker-by-port/2604/8XP
OSVIL INTERNATIONAL LLC,BMN,"555 WEST GOLD HILL ROAD  SUITE 41 42  NOGALES, AZ 85621  United States",+1 520-281-9097,https://www.cbp.gov/about/contact/find-broker-by-port/2604/BMN
PARTIDA BROKERAGE INC,AA7,"825 NORTH GRAND AVENUE  NOGALES, AZ 85621  United States",+1 520-631-2520,https://www.cbp.gov/about/contact/find-broker-by-port/2604/AA7
RA PINA AND ASSOCIATES INC,EQM,"545 NORTH GRAND AVENUE  SUITE 6  NOGALES, AZ 85621  United States",+1 520-287-6664,https://www.cbp.gov/about/contact/find-broker-by-port/2604/EQM
RADIX GROUP INTERNATIONAL INC DBA DHL GLOBAL FORWARDING,'336,"911 NORTH INDUSTRIAL PARK AVENUE  NOGALES, AZ 85621  United States",+1 520-281-5198,https://www.cbp.gov/about/contact/find-broker-by-port/2604/336
RICHARD GARCIA JR DBA MG INTERNATIONAL,APF,"1860 NORTH STATE DRIVE  SUITE 1  NOGALES, AZ 85621  United States",+1 520-761-4700,https://www.cbp.gov/about/contact/find-broker-by-port/2604/APF
RICHARD L JONES CHB INC,'264,"857 WEST BELL ROAD  SUITE 11  NOGALES, AZ 85621  United States",+1 520-281-2665,https://www.cbp.gov/about/contact/find-broker-by-port/2604/264
SHANNON BROKERAGE CO,'012,"80 NORTH NELSON AVENUE  PO BOX 430  NOGALES, AZ 85628  United States",+1 520-287-3671,https://www.cbp.gov/about/contact/find-broker-by-port/2604/012
SUAREZ BROKERAGE COMPANY INC,AE3,"1485 NORTH MARIPOSA RANCH ROAD  NOGALES, AZ 85621  United States",+1 520-281-4646,https://www.cbp.gov/about/contact/find-broker-by-port/2604/AE3
VALENCIA INTERNATIONAL INC,K76,"1495 WEST CALLE PLATA  NOGALES, AZ 85621  United States",+1 520-281-0672,https://www.cbp.gov/about/contact/find-broker-by-port/2604/K76
YVONNE MAYER,'9FQ,"161 EAST MAYRA DRIVE  OFFICE A  NOGALES, AZ 85621  United States",+1 520-281-3013,https://www.cbp.gov/about/contact/find-broker-by-port/2604/9FQ
ZEPOL IMPORTS LLC,'9ML,"11 BRAVO LANE  NOGALES, AZ 85621  United States",+1 520-377-0671,https://www.cbp.gov/about/contact/find-broker-by-port/2604/9ML
