Broker Names,Broker Filer Code,Address,Phone,Details Page Link
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,'231,"2550 ELLSMERE AVENUE  NORFOLK COMMERCE PARK SUITE B  NORFOLK, VA 23513  United States",+1 757-853-7776,https://www.cbp.gov/about/contact/find-broker-by-port/1401/231
FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC,'799,"5445 HENNEMAN DRIVE  NORFOLK, VA 23513  United States",+1 757-857-8000,https://www.cbp.gov/about/contact/find-broker-by-port/1401/799
FRACHT FWO INC,U51,"150 BOUSH STREET  SUITE 203  NORFOLK, VA 23510  United States",+1 757-355-5420,https://www.cbp.gov/about/contact/find-broker-by-port/1401/U51
GEODIS USA INC,'113,"CITY CENTER  223 EAST CITY HALL AVE  NORFOLK, VA 23510  United States",+1 757-314-4300,https://www.cbp.gov/about/contact/find-broker-by-port/1401/113
GLOBAL TRADE RESOURCES INC,BLA,"4704 MONUMENTAL STREET  RICHMOND, VA 23226  United States",+1 804-355-2223,https://www.cbp.gov/about/contact/find-broker-by-port/1401/BLA
HIPAGE CO INC,'100,"227 EAST PLUME STREET  PO BOX 3158  NORFOLK, VA 23510  United States",+1 757-446-1500,https://www.cbp.gov/about/contact/find-broker-by-port/1401/100
JOHN A STEER COMPANY,'334,"5423 HENNEMAN DRIVE  SUITE A  NORFOLK, VA 23513  United States",+1 757-853-1940,https://www.cbp.gov/about/contact/find-broker-by-port/1401/334
JOHN S CONNOR INC,'788,"208 EAST PLUME STREET  SUITE 8  NORFOLK, VA 23510  United States",+1 757-627-3910,https://www.cbp.gov/about/contact/find-broker-by-port/1401/788
KUEHNE & NAGEL INC,'101,"500 EAST MAIN STREET  SUITE 1420  NORFOLK, VA 23510  United States",+1 757-533-9668,https://www.cbp.gov/about/contact/find-broker-by-port/1401/101
LESCHACO INC,'056,"5711 SOUTH LABURNUM AVENUE  RICHMOND, VA 23231  United States",+1 804-222-1406,https://www.cbp.gov/about/contact/find-broker-by-port/1401/056
MARITIME CARGO SERVICE,BDA,"332 CLEARFIELD AVENUE  CHESAPEAKE, VA 23320  United States",+1 757-382-0124,https://www.cbp.gov/about/contact/find-broker-by-port/1401/BDA
NELSON INTERNATIONAL INC,U46,"6310 EAST VIRGINIA BEACH BOULEVARD  NORFOLK, VA 23502  United States",+1 757-461-8111,https://www.cbp.gov/about/contact/find-broker-by-port/1401/U46
PANALPINA INC,'554,"KOGER CENTER 425 CENTER DRIVE  SUITE 105  NORFOLK, VA 23502  United States",+1 757-461-8025,https://www.cbp.gov/about/contact/find-broker-by-port/1401/554
RADIX GROUP INTERNATIONAL INC DBA DHL GLOBAL FORWARDING,'336,"5733 BAYSIDE ROAD  SUITE 101  VIRGINIA BEACH, VA 23455  United States",+1 757-464-2047,https://www.cbp.gov/about/contact/find-broker-by-port/1401/336
SCHENKER INC,'322,"192 BALLARD COURT  SUITE 200  VIRGINIA BEACH, VA 23462  United States",+1 757-456-2390,https://www.cbp.gov/about/contact/find-broker-by-port/1401/322
SEAMODAL TRANSPORT CORP,'701,"870 NORTH MILITARY HIGHWAY  SUITE 322  NORFOLK, VA 23502  United States",+1 757-461-6288,https://www.cbp.gov/about/contact/find-broker-by-port/1401/701
STELLAR TRADE SUPPORT INC,ABQ,"4807 COLLEY AVENUE  SUITE 8  NORFOLK, VA 23508  United States",+1 757-489-0475,https://www.cbp.gov/about/contact/find-broker-by-port/1401/ABQ
TALBOT H SELBY,AMB,"2125 BATTLEFIELD RUN COURT  RICHMOND, VA 23231  United States",+1 804-226-3438,https://www.cbp.gov/about/contact/find-broker-by-port/1401/AMB
UPS SUPPLY CHAIN SOLUTIONS INC,UPS,"1457 MILLER STORE ROAD  SUITE 106  VIRGINIA BEACH, VA 23455  United States",+1 757-363-6032,https://www.cbp.gov/about/contact/find-broker-by-port/1401/UPS
VANDEGRIFT FORWARDING COMPANY INC,'316,"201 EAST CITY HALL AVENUE  600  NORFOLK, VA 23510  United States",+1 757-457-5500,https://www.cbp.gov/about/contact/find-broker-by-port/1401/316
WESTERN OVERSEAS CORPORATION,'906,"2900 SABRE STREET  VA BEACH, VA 23452  United States",+1 757-340-2288,https://www.cbp.gov/about/contact/find-broker-by-port/1401/906
YUSEN LOGISTICS AMERICAS INC,'286,"550 C WOODLAKE CIRCLE  CHESAPEAKE, VA 23320  United States",+1 757-424-0790,https://www.cbp.gov/about/contact/find-broker-by-port/1401/286
ZIM AMERICAN INTEGRATED SHIPPING SERVICES,V25,"5801 LAKE WRIGHT DRIVE  NORFOLK, VA 23502  United States",+1 757-228-1440,https://www.cbp.gov/about/contact/find-broker-by-port/1401/V25
