Broker Names,Broker Filer Code,Address,Phone,Details Page Link
ASA BROKERS INC,BMF,"23210 66TH AVENUE SOUTH  KENT, WA 98032  United States",+1 253-395-9551,https://www.cbp.gov/about/contact/find-broker-by-port/3019/BMF
B R ANDERSON & CO,E80,"1011 SW KLICKITAT WAY  SUITE 203  SEATTLE, WA 98134  United States",+1 206-623-1346,https://www.cbp.gov/about/contact/find-broker-by-port/3019/E80
BOLLORE LOGISTICS USA INC,'408,"18800 8TH AVENUE SOUTH  SUITE 2500  SEATAC, WA 98148  United States",+1 206-242-9229,https://www.cbp.gov/about/contact/find-broker-by-port/3019/408
BOSCH CUSTOMS BROKERAGE INC,AZJ,"141 GARFIELD STREET  SUMAS, WA 98295  United States",+1 360-988-0405,https://www.cbp.gov/about/contact/find-broker-by-port/3019/AZJ
BRUCE S MESTON,NP5,"14150 NORTH EAST 20TH STREET  SUITE F1 367  BELLEVUE, WA 98007  United States",+1 425-766-3622,https://www.cbp.gov/about/contact/find-broker-by-port/3019/NP5
C H ROBINSON INTERNATIONAL INC,'791,"411 108TH AVENUE NORTH EAST  SUITE 2150  BELLEVUE, WA 98004  United States",+1 425-603-9800,https://www.cbp.gov/about/contact/find-broker-by-port/3019/791
CARL F ROEHL JR,E16,"1303 COMMERCIAL ST SUITE 8  BELLINGHAM, WA 98227  United States",+1 360-733-4640,https://www.cbp.gov/about/contact/find-broker-by-port/3019/E16
CARMICHAEL INTERNATIONAL SERVICE,'442,"911 WESTERN AVENUE  SUITE 410  SEATTLE, WA 98104  United States",+1 206-441-0600,https://www.cbp.gov/about/contact/find-broker-by-port/3019/442
CARSON CUSTOMS BROKERS (USA) INC,AD1,"925 B BOBLETT STREET  BLAINE, WA 98230  United States",+1 360-332-1322,https://www.cbp.gov/about/contact/find-broker-by-port/3019/AD1
CDS GLOBAL LOGISTICS - ONE LLC,WIG,"604 OAKESDALE AVENUE SOUTH WEST  SUITE 200  RENTON, WA 98057  United States",+1 425-401-7147,https://www.cbp.gov/about/contact/find-broker-by-port/3019/WIG
CEVA INTERNATIONAL INC,'004,"3102 WEST VALLEY HIGHWAY NORTH  AUBURN, WA 98001  United States",+1 253-437-2700,https://www.cbp.gov/about/contact/find-broker-by-port/3019/004
CH POWELL COMPANY,'605,"19231 36TH AVE WEST  SUITE J  LYNNWOOD, WA 98036  United States",+1 425-774-3363,https://www.cbp.gov/about/contact/find-broker-by-port/3019/605
CHARLES M SCHAYER & CO,'700,"2460 SOUTH 161ST STREET  SUITE 2  SEATAC, WA 98158  United States",+1 206-242-0600,https://www.cbp.gov/about/contact/find-broker-by-port/3019/700
CLEARFREIGHT INC,'235,"909 SOUTH 336TH STREET  SUITE 105  FEDERAL WAY, WA 98003  United States",+1 253-661-9900,https://www.cbp.gov/about/contact/find-broker-by-port/3019/235
COLE INTERNATIONAL USA INC,CIU,"441 PEACE PORTAL DRIVE  BLAINE, WA 98230  United States",+1 360-332-1124,https://www.cbp.gov/about/contact/find-broker-by-port/3019/CIU
DSV AIR & SEA INC,DSV,"16040 CHRISTENSEN ROAD  SUITE 212  SEATTLE, WA 98188  United States",+1 206-878-8001,https://www.cbp.gov/about/contact/find-broker-by-port/3019/DSV
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,'231,"21318 64TH AVENUE SO  KENT, WA 98032  United States",+1 253-872-3860,https://www.cbp.gov/about/contact/find-broker-by-port/3019/231
EXPEDITORS TRADEWIN LLC,JF9,"1015 3RD AVENUE  SEATTLE, WA 98104  United States",+1 206-674-3400,https://www.cbp.gov/about/contact/find-broker-by-port/3019/JF9
FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC,'799,"2820 B STREET NW  SUITE 101  AUBURN, WA 98001  United States",+1 425-793-1900,https://www.cbp.gov/about/contact/find-broker-by-port/3019/799
GEODIS USA INC,'113,"18200 CASCADE AVENUE SOUTH  SUITE 202  SEATTLE, WA 98188  United States",+1 425-656-5710,https://www.cbp.gov/about/contact/find-broker-by-port/3019/113
GEODIS USA INC,'113,"18200 CASCADE AVENUE SOUTH  SUITE 202  SEATTLE, WA 98188  United States",+1 425-656-5710,https://www.cbp.gov/about/contact/find-broker-by-port/3019/113
GEODIS WILSON USA INC,GEO,"18800 8TH AVENUE SOUTH  SUITE 2200  SEATAC, WA 98148  United States",+1 206-834-9988,https://www.cbp.gov/about/contact/find-broker-by-port/3019/GEO
GLOBAL TRANSPORTATION SERVICES INC,H41,"18209 80TH AVENUE SOUTH  SUITE A  KENT, WA 98032  United States",+1 425-207-1500,https://www.cbp.gov/about/contact/find-broker-by-port/3019/H41
GOLDEN GLOBE TRANSPORT INC,N25,"18800 8TH AVENUE SOUTH  SUITE 500  SEATTLE, WA 98148  United States",+1 206-241-0251,https://www.cbp.gov/about/contact/find-broker-by-port/3019/N25
HECNY BROKERAGE SERVICE INC,'178,"234 SOUTH WEST 43RD STREET  SUITE 2 M D  RENTON, WA 98055  United States",+1 425-656-0431,https://www.cbp.gov/about/contact/find-broker-by-port/3019/178
HELLMANN WORLDWIDE LOGISTICS INC,MC2,"19620 RUSSELL ROAD  KENT, WA 98032  United States",+1 425-251-1550,https://www.cbp.gov/about/contact/find-broker-by-port/3019/MC2
INTERNATIONAL BROKERAGE INC,FV9,"4634 EAST MARGINAL WAY SOUTH  SUITE C 120  SEATTLE, WA 98134  United States",+1 206-324-8834,https://www.cbp.gov/about/contact/find-broker-by-port/3019/FV9
INTERNATIONAL FREIGHT SYSTEMS OF WASHINGTON LLC,EH5,"19803 FIRST AVENUE SOUTH  SUITE 102  SEATTLE, WA 98148  United States",+1 206-433-2614,https://www.cbp.gov/about/contact/find-broker-by-port/3019/EH5
JACK R HULS & CO,'575,"PO BOX 1599  BLAINE, WA 98231  United States",+1 360-332-4474,https://www.cbp.gov/about/contact/find-broker-by-port/3019/575
JAMES J BOYLE & CO INC,'221,"18800 8TH AVENUE SOUTH  SUITE 2000  SEATAC, WA 98148  United States",+1 206-447-9580,https://www.cbp.gov/about/contact/find-broker-by-port/3019/221
JAS FORWARDING USA INC,D99,"22615 54TH AVENUE SOUTH  KENT, WA 98032  United States",+1 253-395-1906,https://www.cbp.gov/about/contact/find-broker-by-port/3019/D99
JC LOGISTICS,BNN,"28612 REDONDO BEACH DRIVE SOUTH  DES MOINES, WA 98198  United States",+1 206-653-7560,https://www.cbp.gov/about/contact/find-broker-by-port/3019/BNN
JOHN M. BRYCE DBA WJ BYRNES & CO,'471,"1326 5TH AVENUE  SUITE 433  SEATTLE, WA 98101  United States",+1 206-623-4262,https://www.cbp.gov/about/contact/find-broker-by-port/3019/471
JONES & JONES LLC,WQO,"155 12TH STREET SUITE 222  PO BOX 1889  BLAINE, WA 98230  United States",+1 360-332-6090,https://www.cbp.gov/about/contact/find-broker-by-port/3019/WQO
KUEHNE & NAGEL INC,'101,"18900 8TH AVENUE SOUTH  SUITE 1300  SEATAC, WA 98148  United States",+1 206-901-9000,https://www.cbp.gov/about/contact/find-broker-by-port/3019/101
LAUFER GROUP INTERNATIONAL LTD,MR5,"20415 72ND AVENUE SOUTH  SUITE 160  KENT, WA 98032  United States",+1 425-656-4485,https://www.cbp.gov/about/contact/find-broker-by-port/3019/MR5
LE COPPERSMITH INC,'224,"2580 SOUTH 156TH STREET  TPLEX BLDG A SUITE 201  SEATTLE, WA 98158  United States",+1 206-242-6181,https://www.cbp.gov/about/contact/find-broker-by-port/3019/224
LIVINGSTON INTERNATIONAL INC,'300,"1 14TH STREET  UNIT 5  BLAINE, WA 98230  United States",+1 360-332-0966,https://www.cbp.gov/about/contact/find-broker-by-port/3019/300
LYNDEN AIR FREIGHT INC DBA LYNDEN INTERNATIONAL,K10,"18303 8TH AVENUE SOUTH  PO BOX 84167  SEATTLE, WA 98148  United States",+1 206-835-4562,https://www.cbp.gov/about/contact/find-broker-by-port/3019/K10
MCCLARY SWIFT & CO - BLAINE INC,W13,"8105 BIRCH BAY SQUARE STREET  SUITE 201  BLAINE, WA 98230  United States",+1 360-332-4552,https://www.cbp.gov/about/contact/find-broker-by-port/3019/W13
MEIKO AMERICA INC,G26,"18821 90TH AVENUE SOUTH  KENT, WA 98031  United States",+1 253-872-5939,https://www.cbp.gov/about/contact/find-broker-by-port/3019/G26
METRO CUSTOMS BROKERS INC,WFN,"1050 B STREET  BLAINE, WA 98230  United States",+1 360-332-7420,https://www.cbp.gov/about/contact/find-broker-by-port/3019/WFN
MIQ GLOBAL LLC DBA MIQ LOGISTICS,'988,"18900 8TH AVEUNE SOUTH  SUITE 1000  SEATAC, WA 98148  United States",+1 206-214-4900,https://www.cbp.gov/about/contact/find-broker-by-port/3019/988
MTI WORLDWIDE LOGISTICS CORP,HJ7,"16040 CHRISTENSEN ROAD  SUITE 320  SEATTLE, WA 98188  United States",+1 206-431-4366,https://www.cbp.gov/about/contact/find-broker-by-port/3019/HJ7
MURPHY OVERSEAS LLC,BHQ,"206 SOUTH WEST MICHIGAN STREET  SEATTLE, WA 98106  United States",+1 206-764-0811,https://www.cbp.gov/about/contact/find-broker-by-port/3019/BHQ
NAKAMURA U S A INC,U67,"600 UNIVERSITY STREET  SUITE 2324  SEATTLE, WA 98101  United States",+1 206-682-9418,https://www.cbp.gov/about/contact/find-broker-by-port/3019/U67
NIPPON EXPRESS USA INC,'510,"21024 24TH AVENUE SOUTH  SUITE 115  SEATAC, WA 98198  United States",+1 253-867-5255,https://www.cbp.gov/about/contact/find-broker-by-port/3019/510
NNR GLOBAL LOGISTICS USA INC,U35,"22261 WEST VALLEY HIGHWAY  KENT, WA 98032  United States",+1 253-395-3885,https://www.cbp.gov/about/contact/find-broker-by-port/3019/U35
NORVANCO INC,'690,"4301 WEST VALLEY HIGHWAY EAST  SUITE 100  SUMNER, WA 98390  United States",+1 253-987-4046,https://www.cbp.gov/about/contact/find-broker-by-port/3019/690
OEC LOGISTICS INC,ACN,"2200 LIND AVENUE SOUTH WEST  SUITE 909  RENTON, WA 98057  United States",+1 425-272-0789,https://www.cbp.gov/about/contact/find-broker-by-port/3019/ACN
PACIFIC CUSTOMS BROKERS INC,MK8,"1400 A STREET  PO BOX 4505  BLAINE, WA 98231  United States",+1 360-332-8534,https://www.cbp.gov/about/contact/find-broker-by-port/3019/MK8
PACIFIC RIM SHIPBROKERS INC,WA2,"3837 13TH AVENUE WEST  SUITE 209  SEATTLE, WA 98119  United States",+1 206-622-7851,https://www.cbp.gov/about/contact/find-broker-by-port/3019/WA2
PAILIN INTERNATIONAL,FN5,"13004 SOUTH EAST 47TH STREET  BELLEVUE, WA 98006  United States",+1 425-957-2389,https://www.cbp.gov/about/contact/find-broker-by-port/3019/FN5
PANALPINA INC,'554,"21112 72ND AVENUE SOUTH  KENT, WA 98032  United States",+1 253-518-2200,https://www.cbp.gov/about/contact/find-broker-by-port/3019/554
PMK INTERNATIONAL LLC,EMP,"1107 SOUTH WEST GRADY WAY  BUILDING B SUITE 120  RENTON, WA 98057  United States",+1 206-439-1863,https://www.cbp.gov/about/contact/find-broker-by-port/3019/EMP
RADIANT CUSTOMS SERVICES INC,A28,"405 114TH AVENUE SOUTH EAST  3RD FLOOR  BELLEVUE, WA 98004  United States",+1 425-943-4549,https://www.cbp.gov/about/contact/find-broker-by-port/3019/A28
RADIX GROUP INTERNATIONAL INC DBA DHL GLOBAL FORWARDING,'336,"1904 RAYMOND AVENUE SOUTH WEST  RENTON, WA 98057  United States",+1 425-981-3561,https://www.cbp.gov/about/contact/find-broker-by-port/3019/336
RAFIKI TRADE GROUP PLLC,EJP,"4626 89TH AVENUE SOUTH EAST  MERCER ISLAND, WA 98040  United States",+1 206-683-5093,https://www.cbp.gov/about/contact/find-broker-by-port/3019/EJP
ROBERT E LANDWEER & CO INC,'603,"19415 INTL BLVD  SUITE 412  SEATAC, WA 98188  United States",+1 206-623-5335,https://www.cbp.gov/about/contact/find-broker-by-port/3019/603
ROBERT M KENNARD,MQ8,"3220 UDDENBERG LN  GIG HARBOR, WA 98335  United States",+1 253-853-3159,https://www.cbp.gov/about/contact/find-broker-by-port/3019/MQ8
S S SHIH COMPANY INC,J59,"3219 57TH AVENUE SOUTH WEST  SEATTLE, WA 98116  United States",+1 206-938-4151,https://www.cbp.gov/about/contact/find-broker-by-port/3019/J59
SANDERS BROKERAGE SERVICES LLC,ARM,"1050 B STREET  BLAINE, WA 98231  United States",+1 360-332-1778,https://www.cbp.gov/about/contact/find-broker-by-port/3019/ARM
SCHENKER INC,'322,"8201 PERIMETER ROAD SOUTH  SEATTLE, WA 98108  United States",+1 206-763-5618,https://www.cbp.gov/about/contact/find-broker-by-port/3019/322
SEKO CUSTOMS BROKERAGE INC,M34,"23119 66TH AVENUE SOUTH  KENT, WA 98032  United States",+1 206-433-8777,https://www.cbp.gov/about/contact/find-broker-by-port/3019/M34
SOUND BROKERAGE INTERNATIONAL LLC,BMG,"3600 PORT OF TACOMA ROAD  SUITE 301  TACOMA, WA 98424  United States",+1 253-922-7718,https://www.cbp.gov/about/contact/find-broker-by-port/3019/BMG
SPRINT FORWARDERS INC,WO3,"1402 3RD AVE SUITE 1124  PO BOX 21489  SEATTLE, WA 98111  United States",+1 206-624-2554,https://www.cbp.gov/about/contact/find-broker-by-port/3019/WO3
TIGERS USA GLOBAL LOGISTICS INC,MA7,"20844 72ND AVENUE SOUTH  KENT, WA 98032  United States",+1 425-291-9091,https://www.cbp.gov/about/contact/find-broker-by-port/3019/MA7
TOTAL FREIGHT LOGISTICS INTERNATIONAL LLC,ALX,"2114 MARSHALL AVENUE  TACOMA, WA 98421  United States",+1 253-926-6855,https://www.cbp.gov/about/contact/find-broker-by-port/3019/ALX
TRANSFAIR NORTH AMERICA INTERNATIONAL FREIGHT SERVICES LLC DBA TRANSGROUP INTERNATIONAL,E37,"18850 8TH AVE SOUTH  SUITE 100  SEATTLE, WA 98148  United States",+1 206-244-0330,https://www.cbp.gov/about/contact/find-broker-by-port/3019/E37
TRANSMARK CUSTOMS BROKERS INC,BRW,"22217 68TH AVENUE SOUTH  KENT, WA 98032  United States",+1 253-893-7400,https://www.cbp.gov/about/contact/find-broker-by-port/3019/BRW
U-FREIGHT AMERICA INC,ABX,"18918 13TH PLACE SOUTH  BLDG 2  SEATAC, WA 98148  United States",+1 206-242-4755,https://www.cbp.gov/about/contact/find-broker-by-port/3019/ABX
UPS SUPPLY CHAIN SOLUTIONS INC,UPS,"2150 PEACE PORTAL DRIVE  BLAINE, WA 98230  United States",+1 360-332-5222,https://www.cbp.gov/about/contact/find-broker-by-port/3019/UPS
VANTAGE POINT SERVICES LLC,E6G,"22513 MARINE VIEW DRIVE  SUITE 200  DES MOINES, WA 98168  United States",+1 206-878-8884,https://www.cbp.gov/about/contact/find-broker-by-port/3019/E6G
YUSEN LOGISTICS AMERICAS INC,'286,"18850 8TH AVENUE SOUTH  900  SEATAC, WA 98148  United States",+1 206-403-2481,https://www.cbp.gov/about/contact/find-broker-by-port/3019/286
